Zeile;Keyword Deutsch;Keyword Abkürzung;Keyword Englisch;ignore;Parent Zeile;;;;
53;organischer Stickstoff;ON;Organic Nitrogen;;;;;;
54;Organochlorverbindungen ;;Organochloride compounds;"Vorschlag: Querverweis bei der Recherche auf: Aldrin, Dieldrin, _-HCH, _-HCH, _-HCH, HCB,
Heptachlor, Heptachlorepoxid, Octachlorstyrol, DDT, DDD, DDE, Polychlorierte Biphenyle,  Pentachlorbenzol";;;;;
55;Pentachlorbenzol;;Pentachlorobenzene;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
56;Phenanthren;;Phenanthrene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;63;;;;
57;Phenole;;Phenols;;;;;;
58;Phthalate;;Phthalate;;;;;;
59;Polychlorierte Biphenyle;PCB;Polychlorinated biphenyl;Vorschlag: bei Recherche: Querverweis zu Organochloverbindungen, siehe Zeile 55;55;;;;
60;Polychlorierte dibenzodioxins;PCDD;Polychlorinated dibenzodioxins;;;;;;
61;Polychlorierte dibenzofurane;PCDF;Polychlorinated dibenzofurane;;;;;;
62;Polycyclische aromatische Kohlenwasserstoffe ;PAK;Polycyclic Aromatic Hydrocarbons;"Vorschlag: Querverweis bei der Recherche von den  Polycyclischen aromatischen Kohlenwasserstoffen auf:  Anthanthren, Anthracen,
Benz[a]antrace, Benzo[a]pyren, Benzo[b,j,k]fluoranthen,
Benzo[b]naphto[2,1-d]thiophen, Benzo[e]pyren, Benzo[ghi]fluoranthen,
Benzo[c]phenanthren, Benzo[ghi]perle, Chrysen + Triphenylen, Coronen,
Dibenz[a,h]antrace, Fluoranthen, Indeno[1,2,3-cd]pyren, Phenanthren,
Pyren";;;;;
63;Propazin;;Propazine;;;;;;
64;Pyren;;Pyrene;Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63;;;;;
67;Triazine;;Triazine;;;;;;
68;Triphenylen;;Triphenylen;"ergänzt MA; Vorschlag: bei Recherche: Querverweis zu PAK, siehe Zeile 63";62;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
